Tanggal;Username;Clean Dataset
2022-02-27 12:00:01+00:00;HIMASIERA;himbrenews halo sobat siera minggu enak baca berita jadi bincang kalang masyarakat indonesia rencana pindah ibu kota baru indonesia nama ibu kota nusantara ikn
2022-02-27 09:23:52+00:00;oncombandung;bangun bedeng kali jagain lahan proyek btw betawi rempuk tidak ya buka cabang ikn nusantara ganti nama jadi nusantara rempuk
2022-02-27 08:22:53+00:00;fadjroeL;temu dubes nur sultan kazakhstan nama ibu kota baru nusantara archipelago indonesia pindah insya allah tahun selamat antusias dengar inidiplomasi
2022-02-27 04:04:47+00:00;Maandala_06;ikn indonesia resmi pindah dki jakarta nusantara kaltim tanda tuju rancang undang ikn jadi undang dewan wakil rakyat republik indonesia sidang paripurna presiden tetap nama ibu kota negara baru nusantara
2022-02-27 03:09:00+00:00;tribunkaltim;kepala otorita ikn tunggu umum jokowi struktur badan otorita sudah ada nama dewan arah kepalaotorita ikn iknnusantara ibukotanegara badanotorita
2022-02-26 23:54:22+00:00;sandra_hut;ikn indonesia resmi pindah dki jakarta nusantara kaltim tanda tuju rancang undang ikn jadi undang dewan wakil rakyat republik indonesia sidang paripurna presiden tetap nama ibu kota negara baru nusantara
2022-02-26 18:51:45+00:00;Bamus_betawi;pasca ikn tetap bamus betawi aju nama baru jakarta tokoh masyarakat betawi jakarta revisiuu
2022-02-26 15:45:20+00:00;idkatacom;ma ruf amin presiden jokowi sudah kantong nama calon kepala otorita ikn
2022-02-25 19:46:55+00:00;DewawarmanDayac;bukti bhwa smua sprti sulap ikn nasib kejar fulus nama dorna aman sj karena cebong dungu hnya tahu kadrun
2022-02-25 12:36:41+00:00;kalap_corona;ndak niat kalau narasi jin buang anak lokasi ikn jerat ndak suku ndak nama daerah
2022-02-25 07:45:04+00:00;hmpsik_upnvj;tidak desain istana ibu kota negara ikn bentuk burung garuda tuju presiden publikasi istana merdeka januari nama pilih nusantara
2022-02-25 06:57:29+00:00;devy_rahawarin;media warta ekonomi naik berita singgung nama presiden republik indonesia anies baswedan tuk jadi kepala otorita ikn harap informasi dasar fakta bukan tebak opini sang wartawan nohoax stophoax
2022-02-25 06:05:07+00:00;fillyherry;nama anies harum populer bawa bawa ikn
2022-02-25 03:30:46+00:00;forjakeu;kepala badan intelijen negara budi gunawan pindah ikn dampak sejahtera makmur rakyat pilih kalimantan timur bagai lokasi ikn nusantara bagai nama ikn rupa wujud agam tanah air dukungiknusantara
2022-02-25 03:30:18+00:00;kalla_jengking;kepala badan intelijen negara budi gunawan pindah ikn dampak sejahtera makmur rakyat pilih kalimantan timur bagai lokasi ikn nusantara bagai nama ikn rupa wujud agam tanah air dukungiknusantara
2022-02-25 03:01:00+00:00;AlasSye;ikn nusantara nama ibu kota baru geser titik berat bangun jawa sentris nusantara sentris dukungiknusantara
2022-02-25 02:31:09+00:00;Fadim98171431;orang kayak gin ko fi jadi ketua ikn ada mangkrak duit investasi abis duluan ancuurr nama indonesia
2022-02-25 02:19:54+00:00;KATADATAcoid;nama bambang susantono cuat bursa calon kepala ibu kota negara ikn jadi calon kuat kepala otorita pilih jokowi sosok bambang susantono video
2022-02-25 02:10:21+00:00;131everyday;wkwkwk kalau dulu mah jangan nama hanbin ikn kena hate tai
2022-02-25 02:04:54+00:00;SetiaAdy_p;nolak ngusulin nama pimpin ikn kok karepmu piy to drun
2022-02-25 01:34:01+00:00;BNurvia;kecebong dn buzer gau arab kalau fulus embat bingung kalau ikn slesai gimn nasib status jkrta dki ato cabut pindah ibu kota baru dn nama dki singkat daherah kecebong indonesia
2022-02-24 13:07:35+00:00;rudiatsyah;cari bantu nih tenang sebentar dubes pindah ikn jakarta ubah nama jadi konjen
2022-02-24 12:41:15+00:00;Asmuddin1;nama pandemi partai politik koalisi tidak ada suara usul tunda bangun ikn ya
2022-02-24 06:06:41+00:00;detikcom;jokowi umum nama kepala badan otorita ikn
2022-02-24 06:06:40+00:00;detikfinance;jokowi umum nama kepala badan otorita ikn
2022-02-24 02:46:32+00:00;tempodotco;nama bambang susantono bagai calon kuat timbang presiden jokowi bagai kepala otorita ikn rekam jejak tempobisnis
